OD.plate,OD.row,OD.col,OD600.raw,OD750.raw,Blankstart.600,Blankstart.750,Blankend.600,Blankend.750,note
11.1.2,G,9,0.057,0.056,0.04,0.042,0.039,0.042,
11.1.2,H,9,0.269,0.233,0.042,0.041,0.041,0.04,
11.1.2,A,10,0.075,0.052,0.04,0.041,0.041,0.04,
11.1.2,B,10,0.198,0.163,0.039,0.04,0.039,0.039,
11.1.2,C,10,0.04,0.039,0.04,0.039,0.039,0.039,
11.1.2,D,10,0.041,0.039,0.043,0.04,0.041,0.039,
11.1.2,E,10,0.072,0.079,0.042,0.043,0.041,0.042,
11.1.2,F,10,0.041,0.039,0.038,0.037,0.04,0.038,
11.1.2,G,10,0.089,0.081,0.042,0.041,0.041,0.04,
11.1.2,H,10,0.043,0.04,0.042,0.04,0.041,0.04,
11.1.2,A,11,0.047,0.045,0.041,0.042,0.041,0.042,
11.1.2,B,11,0.045,0.043,0.044,0.044,0.039,0.04,
11.1.2,C,11,0.044,0.041,0.041,0.04,0.04,0.04,
11.1.2,D,11,0.051,0.045,0.04,0.039,0.039,0.038,
11.1.2,E,11,0.274,0.228,0.041,0.041,0.04,0.041,
11.1.2,F,11,0.18,0.168,0.043,0.045,0.042,0.044,
11.1.2,G,11,0.048,0.045,0.039,0.04,0.039,0.039,
11.1.2,H,11,0.044,0.04,0.041,0.041,0.04,0.04,
11.1.2,A,12,0.048,0.044,0.042,0.041,0.041,0.041,
11.1.2,B,12,0.056,0.056,0.039,0.039,0.039,0.038,
11.1.2,C,12,0.044,0.049,0.039,0.039,0.039,0.039,
11.1.2,D,12,0.177,0.154,0.04,0.039,0.039,0.039,
11.1.2,E,12,0.137,0.139,0.041,0.041,0.04,0.04,
11.1.2,F,12,0.076,0.061,0.041,0.041,0.041,0.04,
11.1.2,G,12,0.044,0.045,0.04,0.039,0.04,0.039,
11.1.2,H,12,0.054,0.054,0.041,0.041,0.041,0.04,
12.1.2,A,1,0.064,0.054,0.04,0.04,0.041,0.04,
12.1.2,B,1,0.063,0.054,0.04,0.04,0.038,0.039,
12.1.2,C,1,0.061,0.051,0.039,0.039,0.039,0.039,
12.1.2,D,1,0.057,0.049,0.039,0.039,0.039,0.038,
12.1.2,E,1,0.055,0.046,0.041,0.042,0.04,0.04,
12.1.2,F,1,0.057,0.048,0.041,0.041,0.04,0.04,
12.1.2,G,1,0.057,0.048,0.04,0.04,0.039,0.039,
12.1.2,H,1,0.057,0.048,0.042,0.042,0.041,0.04,
12.1.2,A,2,0.073,0.058,0.04,0.041,0.04,0.041,
12.1.2,B,2,0.07,0.056,0.039,0.04,0.038,0.039,
12.1.2,C,2,0.064,0.057,0.04,0.039,0.039,0.038,
12.1.2,D,2,0.052,0.045,0.039,0.04,0.038,0.039,
12.1.2,E,2,0.058,0.05,0.04,0.042,0.039,0.041,
12.1.2,F,2,0.059,0.05,0.04,0.042,0.039,0.041,
12.1.2,G,2,0.066,0.05,0.04,0.039,0.039,0.039,
12.1.2,H,2,0.109,0.067,0.04,0.04,0.039,0.038,
12.1.2,A,3,0.062,0.057,0.042,0.042,0.041,0.041,
12.1.2,B,3,0.053,0.05,0.039,0.042,0.039,0.041,
12.1.2,C,3,0.058,0.05,0.04,0.039,0.04,0.038,
12.1.2,D,3,0.064,0.054,0.042,0.04,0.041,0.039,
12.1.2,E,3,0.051,0.045,0.041,0.04,0.041,0.039,
12.1.2,F,3,0.05,0.044,0.047,0.045,0.041,0.039,
12.1.2,G,3,0.047,0.043,0.041,0.041,0.04,0.04,
12.1.2,H,3,0.045,0.042,0.04,0.04,0.045,0.044,
12.1.2,A,4,0.054,0.049,0.041,0.041,0.041,0.041,
12.1.2,B,4,0.053,0.05,0.04,0.042,0.039,0.042,
12.1.2,C,4,0.06,0.052,0.04,0.039,0.04,0.039,
12.1.2,D,4,0.056,0.051,0.042,0.042,0.041,0.041,
12.1.2,E,4,0.055,0.051,0.04,0.043,0.039,0.043,
12.1.2,F,4,0.055,0.049,0.04,0.042,0.039,0.041,
12.1.2,G,4,0.051,0.047,0.039,0.041,0.039,0.04,
12.1.2,H,4,0.064,0.065,0.04,0.039,0.04,0.039,
12.1.2,A,5,0.122,0.135,0.041,0.041,0.04,0.04,
12.1.2,B,5,0.074,0.077,0.039,0.041,0.039,0.04,
12.1.2,C,5,0.042,0.039,0.041,0.039,0.042,0.04,
12.1.2,D,5,0.046,0.041,0.04,0.041,0.039,0.04,
12.1.2,E,5,0.066,0.067,0.04,0.043,0.039,0.042,
12.1.2,F,5,0.058,0.048,0.041,0.041,0.041,0.04,
12.1.2,G,5,0.142,0.129,0.039,0.043,0.039,0.042,
12.1.2,H,5,0.059,0.06,0.042,0.041,0.042,0.041,
12.1.2,A,6,0.041,0.039,0.039,0.039,0.039,0.039,
12.1.2,B,6,0.043,0.039,0.039,0.039,0.038,0.038,
12.1.2,C,6,0.043,0.041,0.041,0.04,0.041,0.039,
12.1.2,D,6,0.042,0.041,0.04,0.04,0.039,0.039,
12.1.2,E,6,0.081,0.067,0.04,0.04,0.04,0.039,
12.1.2,F,6,0.045,0.042,0.04,0.04,0.039,0.039,
12.1.2,G,6,0.043,0.049,0.041,0.042,0.04,0.041,
12.1.2,H,6,0.058,0.061,0.042,0.041,0.042,0.041,
12.1.2,A,7,0.086,0.078,0.04,0.041,0.04,0.04,
12.1.2,B,7,0.06,0.052,0.039,0.039,0.039,0.039,
12.1.2,C,7,0.058,0.054,0.04,0.039,0.039,0.039,
12.1.2,D,7,0.096,0.091,0.04,0.04,0.039,0.039,
12.1.2,E,7,0.051,0.045,0.04,0.04,0.04,0.039,
12.1.2,F,7,0.05,0.044,0.04,0.04,0.039,0.039,
12.1.2,G,7,0.061,0.051,0.046,0.046,0.045,0.044,
12.1.2,H,7,0.063,0.056,0.047,0.049,0.047,0.049,
12.1.2,A,8,0.066,0.057,0.04,0.04,0.04,0.04,
12.1.2,B,8,0.062,0.053,0.04,0.039,0.039,0.038,
12.1.2,C,8,0.054,0.047,0.039,0.039,0.039,0.039,
12.1.2,D,8,0.051,0.046,0.039,0.039,0.038,0.039,
12.1.2,E,8,0.051,0.046,0.042,0.043,0.04,0.041,
12.1.2,F,8,0.052,0.045,0.041,0.042,0.04,0.04,
12.1.2,G,8,0.116,0.099,0.041,0.042,0.041,0.041,
12.1.2,H,8,0.056,0.047,0.043,0.042,0.042,0.041,
12.1.2,A,9,0.044,0.042,0.041,0.041,0.041,0.041,
12.1.2,B,9,0.043,0.041,0.04,0.039,0.039,0.039,
12.1.2,C,9,0.042,0.04,0.04,0.04,0.04,0.039,
12.1.2,D,9,0.049,0.044,0.041,0.041,0.04,0.04,
12.1.2,E,9,0.042,0.044,0.04,0.044,0.04,0.043,
12.1.2,F,9,0.042,0.04,0.04,0.039,0.04,0.039,
12.1.2,G,9,0.042,0.043,0.04,0.042,0.039,0.042,
12.1.2,H,9,0.06,0.05,0.042,0.041,0.041,0.04,
12.1.2,A,10,0.055,0.049,0.04,0.041,0.041,0.04,
12.1.2,B,10,0.052,0.049,0.039,0.04,0.039,0.039,
12.1.2,C,10,0.044,0.042,0.04,0.039,0.039,0.039,
12.1.2,D,10,0.046,0.042,0.043,0.04,0.041,0.039,
12.1.2,E,10,0.048,0.046,0.042,0.043,0.041,0.042,
12.1.2,F,10,0.047,0.042,0.038,0.037,0.04,0.038,
12.1.2,G,10,0.079,0.075,0.042,0.041,0.041,0.04,
12.1.2,H,10,0.051,0.046,0.042,0.04,0.041,0.04,
12.1.2,A,11,0.262,0.177,0.041,0.042,0.041,0.042,
12.1.2,B,11,0.189,0.197,0.044,0.044,0.039,0.04,
12.1.2,C,11,0.141,0.113,0.041,0.04,0.04,0.04,
12.1.2,D,11,0.173,0.171,0.04,0.039,0.039,0.038,
12.1.2,E,11,0.159,0.155,0.041,0.041,0.04,0.041,
12.1.2,F,11,0.074,0.063,0.043,0.045,0.042,0.044,
12.1.2,G,11,0.283,0.269,0.039,0.04,0.039,0.039,
12.1.2,H,11,0.426,0.402,0.041,0.041,0.04,0.04,
12.1.2,A,12,0.043,0.052,0.042,0.041,0.041,0.041,
12.1.2,B,12,0.05,0.058,0.039,0.039,0.039,0.038,
12.1.2,C,12,0.048,0.043,0.039,0.039,0.039,0.039,
12.1.2,D,12,0.264,0.231,0.04,0.039,0.039,0.039,
12.1.2,E,12,0.041,0.04,0.041,0.041,0.04,0.04,
12.1.2,F,12,0.042,0.04,0.041,0.041,0.041,0.04,
12.1.2,G,12,0.041,0.039,0.04,0.039,0.04,0.039,
12.1.2,H,12,0.378,0.336,0.041,0.041,0.041,0.04,
13.1.2,A,1,0.055,0.05,0.04,0.04,0.041,0.04,
13.1.2,B,1,0.054,0.049,0.04,0.04,0.038,0.039,
13.1.2,C,1,0.046,0.044,0.039,0.039,0.039,0.039,
13.1.2,D,1,0.042,0.04,0.039,0.039,0.039,0.038,
13.1.2,E,1,0.052,0.055,0.041,0.042,0.04,0.04,
13.1.2,F,1,0.055,0.052,0.041,0.041,0.04,0.04,
13.1.2,G,1,0.111,0.106,0.04,0.04,0.039,0.039,
13.1.2,H,1,0.07,0.062,0.042,0.042,0.041,0.04,
