scorer,plate,row,column,ROI,,,,,,,,
MG,11.2,B,6,32,36,,,,,,,
MG,11.2,C,1,57,55,,,,,,,
MG,11.2,C,2,54,61,59,,,,,,
MG,11.2,C,3,58,,,,,,,,
MG,11.2,C,4,51,50,56,49,60,,,,
MG,11.2,C,5,53,63,,,,,,,
MG,11.2,C,6,48,52,,,,,,,
MG,11.2,D,1,69,85,83,79,,,,,
MG,11.2,D,2,88,78,82,,,,,,
MG,11.2,D,3,71,,,,,,,,
MG,11.2,D,4,73,72,75,81,,,,,
MG,11.2,D,5,66,,,,,,,,
MG,11.2,D,6,84,86,,,,,,,
MG,12.1,A,1,14,16,,,,,,,
MG,12.1,A,2,10,,,,,,,,
MG,12.1,A,3,15,,,,,,,,
MG,12.1,A,4,8,9,,,,,,,
MG,12.1,A,5,13,,,,,,,,
MG,12.1,A,6,17,,,,,,,,
MG,12.1,B,1,26,,,,,,,,
MG,12.1,B,2,31,33,,,,,,,
MG,12.1,B,3,32,,,,,,,,
MG,12.1,B,4,29,,,,,,,,
MG,12.1,B,5,24,,,,,,,,
MG,12.1,B,6,27,25,,,,,,,
MG,12.1,C,1,51,56,,,,,,,
MG,12.1,C,2,43,48,52,,,,,,
MG,12.1,C,3,49,58,,,,,,,
MG,12.1,C,4,50,53,55,,,,,,
MG,12.1,C,5,46,,,,,,,,
MG,12.1,C,6,45,,,,,,,,
MG,12.1,D,1,69,72,,,,,,,
MG,12.1,D,2,62,63,68,74,,,,,
MG,12.1,D,3,64,,,,,,,,
MG,12.1,D,4,66,,,,,,,,
MG,12.1,D,5,70,,,,,,,,
MG,12.1,D,6,71,,,,,,,,
MG,12.2,A,1,22,26,28,34,35,,,,
MG,12.2,A,2,32,25,,,,,,,
MG,12.2,A,3,31,,,,,,,,
MG,12.2,A,4,27,16,,,,,,,
MG,12.2,A,5,5,,,,,,,,
MG,12.2,A,6,21,30,,,,,,,
MG,12.2,B,1,47,48,,,,,,,
MG,12.2,B,2,46,,,,,,,,
MG,12.2,B,3,42,49,50,,,,,,
MG,12.2,B,4,44,,,,,,,,
MG,12.2,B,5,43,,,,,,,,
MG,12.2,B,6,101,102,,,,,,,
MG,12.2,C,1,57,,,,,,,,
MG,12.2,C,2,68,66,75,,,,,,
MG,12.2,C,3,67,69,71,,,,,,
MG,12.2,C,4,58,59,61,,,,,,
MG,12.2,C,5,62,63,64,65,73,,,,
MG,12.2,C,6,56,,,,,,,,
MG,12.2,D,1,91,,,,,,,,
MG,12.2,D,2,90,,,,,,,,
MG,12.2,D,3,85,87,,,,,,,
MG,12.2,D,4,92,93,,,,,,,
MG,12.2,D,5,88,89,94,,,,,,
MG,12.2,D,6,86,,,,,,,,
MG,13.1,A,1,4,12,11,,,,,,
MG,13.1,A,2,10,7,9,,,,,,
MG,13.1,A,3,3,,,,,,,,
MG,13.1,A,4,,,,,,,,,
MG,13.1,A,5,2,,,,,,,,
MG,13.1,A,6,6,8,,,,,,,
MG,13.1,B,1,22,35,,,,,,,
MG,13.1,B,2,26,33,28,30,,,,,
MG,13.1,B,3,23,,,,,,,,
MG,13.1,B,4,,,,,,,,,
MG,13.1,B,5,25,32,,,,,,,
MG,13.1,B,6,24,27,29,31,,,,,
MG,13.1,C,1,47,,,,,,,,
MG,13.1,C,2,40,44,,,,,,,
MG,13.1,C,3,43,,,,,,,,
MG,13.1,C,4,46,50,,,,,,,
MG,13.1,C,5,39,42,49,48,53,,,,
MG,13.1,C,6,38,45,52,51,,,,,
MG,13.1,D,1,61,63,65,79,,,,,
MG,13.1,D,2,70,74,75,,,,,,
MG,13.1,D,3,66,72,,,,,,,
MG,13.1,D,4,64,,,,,,,,
MG,13.1,D,5,59,62,,,,,,,
MG,13.1,D,6,60,,,,,,,,
MG,13.2,A,1,11,,,,,,,,
MG,13.2,A,2,8,12,,,,,,,
MG,13.2,A,3,9,,,,,,,,
MG,13.2,A,4,13,14,,,,,,,
MG,13.2,A,5,7,,,,,,,,
MG,13.2,A,6,10,15,,,,,,,
MG,13.2,B,1,32,24,17,,,,,,
MG,13.2,B,2,27,,,,,,,,
MG,13.2,B,3,30,,,,,,,,
MG,13.2,B,4,20,25,29,,,,,,
MG,13.2,B,5,23,,,,,,,,
MG,13.2,B,6,28,,,,,,,,
MG,13.2,C,1,46,45,,,,,,,
MG,13.2,C,2,49,58,,,,,,,
MG,13.2,C,3,52,,,,,,,,
MG,13.2,C,4,44,,,,,,,,
MG,13.2,C,5,50,,,,,,,,
MG,13.2,C,6,41,,,,,,,,
MG,13.2,D,1,66,,,,,,,,
MG,13.2,D,2,68,88,87,94,,,,,
MG,13.2,D,3,72,86,,,,,,,
MG,13.2,D,4,83,,,,,,,,
MG,13.2,D,5,80,74,75,63,62,,,,
MG,13.2,D,6,71,79,,,,,,,
MG,14.1,A,1,23,22,,,,,,,
MG,14.1,A,2,11,,,,,,,,
MG,14.1,A,3,17,20,,,,,,,
MG,14.1,A,4,15,,,,,,,,
MG,14.1,A,5,12,6,21,,,,,,
MG,14.1,A,6,7,19,,,,,,,
MG,14.1,B,1,40,120,,,,,,,
MG,14.1,B,2,37,44,,,,,,,
MG,14.1,B,3,41,,,,,,,,
MG,14.1,B,4,34,,,,,,,,
MG,14.1,B,5,39,,,,,,,,
MG,14.1,B,6,43,,,,,,,,
MG,14.1,C,1,52,49,,,,,,,
MG,14.1,C,2,57,,,,,,,,
MG,14.1,C,3,61,,,,,,,,
MG,14.1,C,4,56,55,,,,,,,
MG,14.1,C,5,58,59,65,67,68,,,,
MG,14.1,C,6,54,64,63,62,,,,,
MG,14.1,D,1,79,86,100,,,,,,
MG,14.1,D,2,88,,,,,,,,
MG,14.1,D,3,83,,,,,,,,
MG,14.1,D,4,87,104,121,122,123,,,,
MG,14.1,D,5,90,92,,,,,,,
MG,14.1,D,6,91,95,99,96,,,,,
MG,14.2,A,1,36,37,,,,,,,
MG,14.2,A,2,35,38,,,,,,,
