plate,row,column ,genotype,BZT,microbe,Salt,BZT,0.FN,2.FN,4.FN,6.FN,8.FN,10.FN,unfixed.error,note
6.II,C,3,Arb,B,+,0,,2,2,3,2,2,2,,
6.II,C,4,Sgb,B,+,0,,1,2,2,2,2,1,,
6.II,C,5,ClD,B,+,0,,1,2,2,3,3,3,,
6.II,C,6,Wll,B,+,0,,2,2,4,6,6,6,,
6.II,D,1,Cny,0,+,S,,1,2,1,2,3,3,,
6.II,D,2,McT,0,+,S,,2,4,4,6,6,6,,
6.II,D,3,Arb,0,+,S,,2,2,2,4,4,2,,
6.II,D,4,Sgb,0,+,S,,4,4,4,4,4,3,,
6.II,D,5,ClD,0,+,S,,2,2,2,4,4,5,,
6.II,D,6,Wll,0,+,S,,2,2,2,3,3,3,,
7.I,A,1,Stn,0,-,0,,2,4,4,6,7,7,,
7.I,A,2,Cst,0,-,0,,2,3,3,6,6,8,,
7.I,A,3,Brc,0,-,0,,2,3,3,4,6,6,,
7.I,A,4,Stf,0,-,0,,3,3,2,2,2,2,,
7.I,A,5,McC,0,-,0,,4,3,6,5,5,6,,
7.I,A,6,WDf,0,-,0,,4,4,8,5,5,5,,
7.I,B,1,Stn,B,+,0,,3,3,3,5,5,3,,
7.I,B,2,Cst,B,+,0,,3,3,6,8,12,11,,
7.I,B,3,Brc,B,+,0,,3,4,5,5,7,5,,
7.I,B,4,Stf,B,+,0,,2,3,3,3,3,3,,
7.I,B,5,McC,B,+,0,,1,2,4,4,4,4,,
7.I,B,6,WDf,B,+,0,,3,3,4,4,4,3,,
7.I,C,1,Stn,B,-,0,,2,2,4,7,7,7,,
7.I,C,2,Cst,B,-,0,,2,2,4,5,6,6,,
7.I,C,3,Brc,B,-,0,,2,3,4,4,4,4,,
7.I,C,4,Stf,B,-,0,,2,2,2,1,1,1,,
7.I,C,5,McC,B,-,0,,1,2,4,4,5,4,,
7.I,C,6,WDf,B,-,0,,3,2,4,4,3,4,,
7.I,D,1,Stn,B,+,S,,4,4,4,4,5,5,,
7.I,D,2,Cst,B,+,S,,4,2,3,4,4,5,,
7.I,D,3,Brc,B,+,S,,2,2,3,2,2,2,,
7.I,D,4,Stf,B,+,S,,2,2,2,2,4,2,,
7.I,D,5,McC,B,+,S,,1,2,2,4,4,4,,
7.I,D,6,WDf,B,+,S,,1,2,3,4,4,5,,
7.II,A,1,Stn,0,+,0,,2,3,3,3,4,5,,
7.II,A,2,Cst,0,+,0,,2,4,4,9,10,12,,
7.II,A,3,Brc,0,+,0,,3,4,4,6,8,7,,
7.II,A,4,Stf,0,+,0,,3,3,3,1,3,2,,
7.II,A,5,McC,0,+,0,,2,3,4,4,4,4,,
7.II,A,6,WDf,0,+,0,,1,2,2,2,2,2,,
7.II,B,1,Stn,B,-,S,,2,2,2,4,4,5,,
7.II,B,2,Cst,B,-,S,,2,2,3,4,5,4,,
7.II,B,3,Brc,B,-,S,,2,3,3,4,4,4,,
7.II,B,4,Stf,B,-,S,,3,3,2,2,1,2,,
7.II,B,5,McC,B,-,S,,2,2,2,2,2,3,,
7.II,B,6,WDf,B,-,S,,2,2,3,2,2,2,,
7.II,C,1,Stn,0,-,S,,2,3,4,3,2,2,,
7.II,C,2,Cst,0,-,S,,2,4,5,8,8,8,,
7.II,C,3,Brc,0,-,S,,3,4,4,5,6,7,,
7.II,C,4,Stf,0,-,S,,3,3,3,2,2,2,,
7.II,C,5,McC,0,-,S,,2,3,3,3,3,5,,
7.II,C,6,WDf,0,-,S,,3,3,4,3,4,4,,
7.II,D,1,Stn,0,+,S,,2,2,3,5,6,8,,
7.II,D,2,Cst,0,+,S,,2,4,3,6,7,7,,
7.II,D,3,Brc,0,+,S,,2,2,2,4,4,4,,
7.II,D,4,Stf,0,+,S,,2,2,2,2,2,2,,
7.II,D,5,McC,0,+,S,,2,3,2,2,3,4,,
7.II,D,6,WDf,0,+,S,,2,2,2,2,2,2,,
