notes,collector,plate,row,column,ROI,,,,,,,,,
,DL,7.2,A,1,80,86,87,88,90,,,,,
,DL,8.1,D,6,43,45,47,,,,,,,
,DL,8.1,D,5,18,34,42,35,,,,,,
,DL,8.1,D,4,44,46,,,,,,,,
,DL,8.1,D,3,28,26,7,,,,,,,
,DL,8.1,D,2,17,40,51,30,23,,,,,
,DL,8.1,D,1,38,,,,,,,,,
,DL,8.1,C,6,74,76,,,,,,,,
,DL,8.1,C,5,83,79,92,,,,,,,
,DL,8.1,C,4,87,,,,,,,,,
,DL,8.1,C,3,94,,,,,,,,,
,DL,8.1,C,2,70,72,75,78,85,,,,,
,DL,8.1,C,1,77,84,90,,,,,,,
,DL,8.1,B,6,103,,,,,,,,,
,DL,8.1,B,5,102,101,108,113,,,,,,
,DL,8.1,B,4,100,,,,,,,,,
,DL,8.1,B,3,NA,,,,,,,,,
,DL,8.1,B,2,114,109,119,112,107,123,,,,
,DL,8.1,B,1,111,115,129,,,,,,,
,DL,8.1,A,6,176,,,,,,,,,
,DL,8.1,A,5,142,144,155,162,,,,,,
,DL,8.1,A,4,NA,,,,,,,,,
,DL,8.1,A,3,147,151,160,,,,,,,
,DL,8.1,A,2,159,146,156,141,136,134,,,,
,DL,8.1,A,1,157,145,154,150,,,,,,
,DL,8.2,D,6,36,37,54,,,,,,,
,DL,8.2,D,5,24,29,28,25,,,,,,
,DL,8.2,D,4,NA,,,,,,,,,
,DL,8.2,D,3,13,42,31,,,,,,,
,DL,8.2,D,2,51,43,168,,,,,,,
,DL,8.2,D,1,26,45,53,35,,,,,,
,DL,8.2,C,6,77,85,90,92,,,,,,
,DL,8.2,C,5,75,78,89,93,,,,,,
,DL,8.2,C,4,82,79,,,,,,,,
,DL,8.2,C,3,68,,,,,,,,,
,DL,8.2,C,2,84,86,95,109,,,,,,
,DL,8.2,C,1,168,,,,,,,,,
,DL,8.2,B,6,140,135,128,,,,,,,
,DL,8.2,B,5,120,115,137,,,,,,,
,DL,8.2,B,4,127,129,,,,,,,,
,DL,8.2,B,3,121,125,133,132,,,,,,
,DL,8.2,B,2,124,141,136,145,146,,,,,
,DL,8.2,B,1,122,134,,,,,,,,
,DL,8.2,A,6,156,165,,,,,,,,
,DL,8.2,A,5,152,157,158,149,155,,,,,
,DL,8.2,A,4,154,,,,,,,,,
,DL,8.2,A,3,153,150,,,,,,,,
,DL,8.2,A,2,161,159,,,,,,,,
,DL,8.2,A,1,151,,,,,,,,,
,DL,9.1,D,6,185,186,,,,,,,,
,DL,9.1,D,5,6,25,,,,,,,,
,DL,9.1,D,4,11,31,,,,,,,,
,DL,9.1,D,3,30,,,,,,,,,
,DL,9.1,D,2,188,187,,,,,,,,
,DL,9.1,D,1,27,32,,,,,,,,
,DL,9.1,C,6,189,,,,,,,,,
,DL,9.1,C,5,63,69,71,86,,,,,,
,DL,9.1,C,4,70,75,81,,,,,,,
,DL,9.1,C,3,66,68,78,,,,,,,
,DL,9.1,C,2,58,65,77,,,,,,,
,DL,9.1,C,1,80,79,,,,,,,,
,DL,9.1,B,6,110,122,130,,,,,,,
,DL,9.1,B,5,96,97,100,,,,,,,
,DL,9.1,B,4,120,116,131,,,,,,,
,DL,9.1,B,3,125,132,137,,,,,,,
,DL,9.1,B,2,127,128,124,,,,,,,
,DL,9.1,B,1,124,128,127,,,,,,,
,DL,9.1,A,6,176,175,165,,,,,,,
,DL,9.1,A,5,163,161,,,,,,,,
,DL,9.1,A,4,166,169,,,,,,,,
,DL,9.1,A,3,174,,,,,,,,,
,DL,9.1,A,2,170,167,,,,,,,,
,DL,9.1,A,1,162,168,,,,,,,,
,DL,9.2,D,6,213,,,,,,,,,
,DL,9.2,D,5,15,,,,,,,,,
,DL,9.2,D,4,32,44,35,,,,,,,
,DL,9.2,D,3,27,33,45,,,,,,,
,DL,9.2,D,2,39,,,,,,,,,
,DL,9.2,D,1,214,19,,,,,,,,
,DL,9.2,C,6,215,68,,,,,,,,
,DL,9.2,C,5,69,,,,,,,,,
,DL,9.2,C,4,91,,,,,,,,,
,DL,9.2,C,3,216,,,,,,,,,
,DL,9.2,C,2,82,83,97,98,99,102,,,,
,DL,9.2,C,1,79,90,94,,,,,,,
,DL,9.2,B,6,217,,,,,,,,,
,DL,9.2,B,5,143,,,,,,,,,
,DL,9.2,B,4,144,,,,,,,,,
