notes,Scorer,plate,row,column,ROI,,,,,,,,,,,,,,
,MG,5.2,B,3,58,156,,,,,,,,,,,,,
,MG,5.2,B,4,81,,,,,,,,,,,,,,
,MG,5.2,B,5,68,,,,,,,,,,,,,,
,MG,5.2,B,6,69,,,,,,,,,,,,,,
,MG,5.2,C,1,98,99,104,111,112,105,,,,,,,,,
,MG,5.2,C,2,108,,,,,,,,,,,,,,
,MG,5.2,C,3,102,,,,,,,,,,,,,,
,MG,5.2,C,4,110,,,,,,,,,,,,,,
,MG,5.2,C,5,97,,,,,,,,,,,,,,
,MG,5.2,C,6,103,,,,,,,,,,,,,,
,MG,5.2,D,1,139,,,,,,,,,,,,,,
,MG,5.2,D,2,135,,,,,,,,,,,,,,
,MG,5.2,D,3,131,,,,,,,,,,,,,,
,MG,5.2,D,4,133,149,144,,,,,,,,,,,,
,MG,5.2,D,5,134,,,,,,,,,,,,,,
,MG,5.2,D,6,130,127,,,,,,,,,,,,,
,MG,6.1,A,1,1,,,,,,,,,,,,,,
,MG,6.1,A,2,8,,,,,,,,,,,,,,
,MG,6.1,A,3,19,26,,,,,,,,,,,,,
,MG,6.1,A,4,17,31,,,,,,,,,,,,,
,MG,6.1,A,5,23,,,,,,,,,,,,,,
,MG,6.1,A,6,4,,,,,,,,,,,,,,
,MG,6.1,B,1,55,68,,,,,,,,,,,,,
,MG,6.1,B,2,67,70,,,,,,,,,,,,,
,MG,6.1,B,3,59,,,,,,,,,,,,,,
,MG,6.1,B,4,48,63,,,,,,,,,,,,,
,MG,6.1,B,5,43,54,56,62,69,,,,,,,,,,
,MG,6.1,B,6,57,61,,,,,,,,,,,,,
,MG,6.1,C,1,84,216,,,,,,,,,,,,,
,MG,6.1,C,2,90,105,,,,,,,,,,,,,
,MG,6.1,C,3,89,,,,,,,,,,,,,,
,MG,6.1,C,4,96,100,,,,,,,,,,,,,
,MG,6.1,C,5,97,101,,,,,,,,,,,,,
,MG,6.1,C,6,92,103,94,99,102,106,,,,,,,,,
,MG,6.1,D,1,138,174,217,143,,,,,,,,,,,
,MG,6.1,D,2,139,150,156,,,,,,,,,,,,
,MG,6.1,D,3,140,,,,,,,,,,,,,,
,MG,6.1,D,4,155,165,161,,,,,,,,,,,,
,MG,6.1,D,5,146,173,,,,,,,,,,,,,
,MG,6.1,D,6,163,144,177,,,,,,,,,,,,
,MG,6.2,A,1,27,,,,,,,,,,,,,,
,MG,6.2,A,2,2,31,30,36,,,,,,,,,,,
,MG,6.2,A,3,164,,,,,,,,,,,,,,
,MG,6.2,A,4,,,,,,,,,,,,,,,
,MG,6.2,A,5,17,25,,,,,,,,,,,,,
,MG,6.2,A,6,13,35,,,,,,,,,,,,,
,MG,6.2,B,1,165,,,,,,,,,,,,,,
,MG,6.2,B,2,46,,,,,,,,,,,,,,
