collector,plate,row,column,ROI,,,,,,,,,,
SP,37.2,D,1,43,47,,,,,,,,,
SP,37.2,C,6,25,33,34,,,,,,,,
SP,37.2,C,5,29,35,,,,,,,,,
SP,37.2,C,4,26,,,,,,,,,,
SP,37.2,C,3,28,36,38,39,,,,,,,
SP,37.2,C,2,31,37,,,,,,,,,
SP,37.2,C,1,30,32,,,,,,,,,
SP,37.2,B,6,15,,,,,,,,,,
SP,37.2,B,5,18,19,,,,,,,,,
SP,37.2,B,4,16,,,,,,,,,,
SP,37.2,B,3,14,,,,,,,,,,
SP,37.2,B,2,22,24,,,,,,,,,
SP,37.2,B,1,13,20,,,,,,,,,
SP,37.2,A,6,5,,,,,,,,,,
SP,37.2,A,5,2,11,10,,,,,,,,
SP,37.2,A,4,3,,,,,,,,,,
SP,37.2,A,3,7,8,,,,,,,,,
SP,37.2,A,2,9,,,,,,,,,,
SP,37.2,A,1,4,12,,,,,,,,,
SP,38.1,D,6,54,,,,,,,,,,
SP,38.1,D,5,56,,,,,,,,,,
SP,38.1,D,4,57,,,,,,,,,,
SP,38.1,D,3,59,62,,,,,,,,,
SP,38.1,D,2,58,60,,,,,,,,,
SP,38.1,D,1,55,61,63,53,,,,,,,
SP,38.1,C,6,38,39,47,,,,,,,,
SP,38.1,C,5,46,40,,,,,,,,,
SP,38.1,C,4,43,50,,,,,,,,,
SP,38.1,C,3,48,49,,,,,,,,,
SP,38.1,C,2,45,,,,,,,,,,
SP,38.1,C,1,37,41,44,51,52,,,,,,
SP,38.1,B,6,23,29,,,,,,,,,
SP,38.1,B,5,24,28,,,,,,,,,
SP,38.1,B,4,25,26,,,,,,,,,
SP,38.1,B,3,27,35,,,,,,,,,
SP,38.1,B,2,21,31,,,,,,,,,
SP,38.1,B,1,32,30,22,34,36,,,,,,
SP,38.1,A,6,2,4,11,18,,,,,,,
SP,38.1,A,5,8,14,,,,,,,,,
SP,38.1,A,4,6,13,15,,,,,,,,
SP,38.1,A,3,9,10,7,16,,,,,,,
SP,38.1,A,2,5,,,,,,,,,,
SP,38.1,A,1,12,17,20,3,19,,,,,,
SP,38.2,D,6,43,45,,,,,,,,,
SP,38.2,D,5,42,48,,,,,,,,,
SP,38.2,D,4,41,44,,,,,,,,,
SP,38.2,D,3,40,50,,,,,,,,,
SP,38.2,D,2,46,47,,,,,,,,,
SP,38.2,D,1,49,39,,,,,,,,,
SP,38.2,C,6,30,35,,,,,,,,,
SP,38.2,C,5,31,38,,,,,,,,,
SP,38.2,C,4,32,,,,,,,,,,
SP,38.2,C,3,34,37,,,,,,,,,
SP,38.2,C,2,28,29,,,,,,,,,
SP,38.2,C,1,36,33,,,,,,,,,
SP,38.2,B,6,14,17,26,,,,,,,,
SP,38.2,B,5,15,22,23,,,,,,,,
SP,38.2,B,4,16,,,,,,,,,,
SP,38.2,B,3,21,18,,,,,,,,,
SP,38.2,B,2,24,,,,,,,,,,
SP,38.2,B,1,20,19,25,,,,,,,,
SP,38.2,A,6,2,6,,,,,,,,,
SP,38.2,A,5,4,11,12,,,,,,,,
SP,38.2,A,4,3,10,,,,,,,,,
SP,38.2,A,3,8,,,,,,,,,,
