id,Plate,Plate Rep,Genotype,Salt,Microbes,Row,Column,lon,lat,conc_corrected,BZT_percent_d,X10.FN,od600,od750,BZTalanine,glycosylatedBZT,BZTacetylalanine,aniline,amino_3_phenol,phenazine,methylBZT,methoxyBZT,km,density
20.1.B4,20,1,Kls,0,No,B,4,79.945209,43.505815,0.1387503961,86.1249603948,4,0.057,0.05,0,5.92E-012,0,7.05E-012,0,5.90E-012,0,1.19E-012,48.1996629383,2000.1241797469
20.1.C4,20,1,Kls,0.8,No,C,4,79.945209,43.505815,0.0433588721,95.664112785,3,0.0625,0.0515,5.66E-012,6.14E-012,0,4.55E-012,0,7.35E-012,1.15E-011,2.02E-012,48.1996629383,2000.1241797469
20.2.B4,20,2,Kls,0,Yes,B,4,79.945209,43.505815,0.0914007779,90.8599222122,5,0.0415,0.0395,0,6.09E-012,0,5.25E-012,0,1.01E-011,0,2.85E-012,48.1996629383,2000.1241797469
21.1.A1,21,1,LnH,0.8,Yes,A,1,81.305495,44.900322,0.0292480465,97.0751953484,1,0.0445,0.0415,0,0,1.50E-012,1.83E-011,0,0,4.79E-012,2.27E-012,206.7424140098,980.5629265144
21.1.A3,21,1,Brk,0.8,Yes,A,3,78.978165,44.120014,0.0776387643,92.2361235727,4,0.069,0.069,0,5.33E-012,0,1.79E-011,0,3.82E-012,4.12E-012,3.52E-013,61.2891573434,1777.9150539131
21.1.C1,21,1,LnH,0,No,C,1,81.305495,44.900322,0.0098550499,99.0144950118,2,0.0465,0.046,0,0,7.36E-013,5.85E-012,0,0,0,1.62E-012,206.7424140098,980.5629265144
21.1.C3,21,1,Brk,0,No,C,3,78.978165,44.120014,0.050378872,94.9621127988,7,0.0445,0.0405,0,6.08E-012,8.92E-013,4.88E-012,0,2.14E-012,0,3.63E-013,61.2891573434,1777.9150539131
21.2.B1,21,2,LnH,0.8,No,B,1,81.305495,44.900322,0.0195201348,98.0479865158,2,0.044,0.0415,0,0,1.50E-012,2.78E-011,0,7.47E-012,0,2.43E-012,206.7424140098,980.5629265144
21.2.B3,21,2,Brk,0.8,No,B,3,78.978165,44.120014,0.0898542914,91.0145708613,6,0.0475,0.0435,7.28E-012,7.51E-012,6.73E-013,3.25E-011,0,0,5.39E-012,3.80E-013,61.2891573434,1777.9150539131
21.2.D1,21,2,LnH,0,Yes,D,1,81.305495,44.900322,0.0220648647,97.7935135318,1,0.0495,0.054,0,3.47E-012,0,9.93E-012,0,4.80E-012,0,2.73E-012,206.7424140098,980.5629265144
21.2.D3,21,2,Brk,0,Yes,D,3,78.978165,44.120014,0.0851187123,91.4881287724,2,0.1755,0.151,2.21E-011,1.55E-012,8.14E-013,1.78E-011,0,1.07E-012,0,0,61.2891573434,1777.9150539131
22.1.A3,22,1,Mnt,0,No,A,3,76.7704,42.98299,0.0442716329,95.5728367144,2,NA,NA,0,0,0,1.15E-011,1.03E-011,0,4.25E-012,1.99E-012,224.3682753121,1575.1106351569
22.1.B3,22,1,Mnt,0,Yes,B,3,76.7704,42.98299,0.0836725412,91.6327458755,6,NA,NA,0,6.20E-013,0,1.11E-011,2.06E-011,0,4.61E-012,2.69E-012,224.3682753121,1575.1106351569
22.1.D3,22,1,Mnt,0.8,Yes,D,3,76.7704,42.98299,0.0635802615,93.6419738521,3,NA,NA,0,4.57E-012,6.98E-013,7.24E-012,1.29E-011,0,0,7.42E-013,224.3682753121,1575.1106351569
22.2.D3,22,2,Mnt,0.8,No,D,3,76.7704,42.98299,0.0689704722,93.1029527841,2,NA,NA,0,1.11E-012,8.76E-013,2.10E-011,0,0,0,1.20E-012,224.3682753121,1575.1106351569
23.1.A3,23,1,Wlp,0.8,No,A,3,82.464411,42.545407,0.148236548,85.1763451957,1,0.063,0.056,0,0,0,9.27E-012,9.76E-012,0,0,2.66E-012,279.1369747911,1313.0307752046
23.1.A6,23,1,Mnt,0.8,No,A,6,76.7704,42.98299,0.0563739197,94.3626080289,5,0.042,0.048,0,3.72E-012,0,1.26E-011,0,0,0,7.21E-013,224.3682753121,1575.1106351569
23.1.D3,23,1,Wlp,0.8,Yes,D,3,82.464411,42.545407,0.0899266396,91.0073360421,3,0.118,0.1045,0,0,0,2.01E-012,1.14E-011,0,0,8.37E-012,279.1369747911,1313.0307752046
23.1.D6,23,1,Mnt,0.8,Yes,D,6,76.7704,42.98299,0.021803552,97.819644801,6,0.0435,0.042,0,1.17E-012,0,2.80E-011,0,7.84E-012,0,3.59E-013,224.3682753121,1575.1106351569
23.2.B3,23,2,Wlp,0,Yes,B,3,82.464411,42.545407,0.0669878654,93.3012134559,3,0.238,0.234,0,0,0,1.33E-011,1.25E-011,0,0,2.48E-012,279.1369747911,1313.0307752046
23.2.B6,23,2,Mnt,0,Yes,B,6,76.7704,42.98299,0.0324260804,96.7573919567,4,0.1045,0.102,0,8.76E-013,0,9.63E-012,0,0,4.50E-012,9.40E-013,224.3682753121,1575.1106351569
23.2.D3,23,2,Wlp,0,No,D,3,82.464411,42.545407,0.0391072538,96.0892746159,2,0.287,0.2365,0,0,0,2.54E-011,0,0,0,4.24E-012,279.1369747911,1313.0307752046
23.2.D6,23,2,Mnt,0,No,D,6,76.7704,42.98299,0.0402316361,95.9768363865,5,0.044,0.0415,0,3.23E-012,1.16E-012,8.39E-012,0,3.57E-012,0,7.06E-013,224.3682753121,1575.1106351569
24.1.A1,24,1,LnH,0,No,A,1,81.305495,44.900322,0.0096858604,99.0314139632,2,0.1205,0.117,0,0,1.10E-012,6.50E-012,0,0,0,1.09E-012,206.7424140098,980.5629265144
24.1.A4,24,1,HBE,0,No,A,4,79.477222,43.620278,0.0509280956,94.9071904368,6,0.042,0.042,1.43E-011,8.75E-012,0,4.26E-012,0,0,0,1.12E-012,8.414886774,6771.2156320371
24.1.A5,24,1,Brk,0,No,A,5,78.978165,44.120014,0.0847301778,91.5269822248,5,0.0425,0.0415,8.59E-012,5.95E-012,1.48E-012,1.13E-011,0,0,0,0,61.2891573434,1777.9150539131
